X,Y,concentration,v_x,v_y,v_z
1.2905,0.0435,0.00268,0.09792,0.06044,-0.00564
1.3195,0.0435,0.00269,0.09857,0.05531,-0.00396
1.3485,0.0435,0.00269,0.09844,0.05072,-0.00244
1.3775,0.0435,0.00269,0.09787,0.04753,-9e-05
1.4065,0.0435,0.00269,0.0965,0.04437,0.00183
1.4355,0.0435,0.00268,0.09411,0.04325,0.00421
1.4645,0.0435,0.00267,0.09193,0.04512,0.00826
1.4935,0.0435,0.00265,0.08843,0.04796,0.01228
1.5225,0.0435,0.00263,0.08488,0.05613,0.01866
1.5515,0.0435,0.00261,0.07926,0.06529,0.02447
1.5805,0.0435,0.00262,0.07133,0.08445,0.02981
1.6095,0.0435,0.00266,0.06433,0.10199,0.03486
1.6385,0.0435,0.00279,0.04969,0.11387,0.03347
1.6675,0.0435,0.00295,0.03873,0.11362,0.02817
1.6965,0.0435,0.0032,0.02111,0.09503,0.01927
1.7255,0.0435,0.00342,0.00701,0.07685,0.01197
1.7545,0.0435,0.00361,-0.00172,0.05923,0.00546
1.7835,0.0435,0.00377,-0.00912,0.04414,-0.00143
1.8125,0.0435,0.00384,-0.00972,0.04122,-0.00274
1.8415,0.0435,0.00388,-0.00959,0.03966,-0.00364
1.8705,0.0435,0.00391,-0.00926,0.04046,-0.00328
1.8995,0.0435,0.00392,-0.00819,0.04139,-0.00292
1.9285,0.0435,0.00393,-0.00732,0.04186,-0.00282
1.9575,0.0435,0.00394,-0.00696,0.04225,-0.00273
1.9865,0.0435,0.00395,-0.0063,0.04255,-0.00271
2.0155,0.0435,0.00395,-0.00577,0.04278,-0.00274
2.0445,0.0435,0.00396,-0.00537,0.04284,-0.00279
2.0735,0.0435,0.00396,-0.00435,0.04299,-0.0028
2.1025,0.0435,0.00396,-0.00365,0.04298,-0.00281
2.1315,0.0435,0.00396,-0.00258,0.04299,-0.0028
2.1605,0.0435,0.00396,-0.00152,0.04292,-0.00278
2.1895,0.0435,0.00396,-0.00074,0.04289,-0.00276
2.2185,0.0435,0.00396,8e-05,0.04293,-0.00268
2.2475,0.0435,0.00396,0.00105,0.04288,-0.00262
2.2765,0.0435,0.00396,0.00191,0.04292,-0.00253
2.3055,0.0435,0.00396,0.00269,0.0431,-0.00241
2.3345,0.0435,0.00395,0.00339,0.04326,-0.0023
2.3635,0.0435,0.00395,0.00411,0.04367,-0.00214
